Date,Battery,Mean SG,Greatest Difference
2024-09-27,B1,1.2583,0.017
2024-09-27,B2,1.2377,0.005
2024-09-27,B3,1.2417,0.009
2024-09-27,B4,1.2403,0.03
2024-09-27,B5,1.1783,0.02
2024-09-27,B6,1.2443,0.015
2024-09-27,B7,1.237,0.005
2024-09-27,B8,1.2457,0.02
2024-09-27,B9,1.2397,0.02
2024-09-27,B10,1.2377,0.023
2024-09-27,B11,1.2333,0.015
2024-09-27,B12,1.235,0.01
2024-09-27,B13,1.238,0.014
2024-09-27,B14,1.2333,0.015
2024-09-27,B15,1.223,0.02
2024-09-27,B16,1.239,0.023
2024-10-12,B1,1.2697,0.014
2024-10-12,B2,1.2603,0.008
2024-10-12,B3,1.2627,0.007
2024-10-12,B4,1.2537,0.003
2024-10-12,B5,1.2497,0.01
2024-10-12,B6,1.2663,0.01
2024-10-12,B7,1.2583,0.008
2024-10-12,B8,1.2653,0.011
2024-10-12,B9,1.2587,0.014
2024-10-12,B10,1.2613,0.02
2024-10-12,B11,1.2543,0.012
2024-10-12,B12,1.2537,0.007
2024-10-12,B13,1.2577,0.007
2024-10-12,B14,1.2557,0.009
2024-10-12,B15,1.2513,0.019
2024-10-12,B16,1.2577,0.012
2024-10-16,B1,1.2773,0.01
2024-10-16,B2,1.2643,0.004
2024-10-16,B3,1.2683,0.011
2024-10-16,B4,1.256,0.002
2024-10-16,B5,1.2547,0.01
2024-10-16,B6,1.2637,0.012
2024-10-16,B7,1.2633,0.01
2024-10-16,B8,1.267,0.006
2024-10-16,B9,1.264,0.011
2024-10-16,B10,1.2623,0.018
2024-10-16,B11,1.26,0.013
2024-10-16,B12,1.2573,0.008
2024-10-16,B13,1.2613,0.007
2024-10-16,B14,1.2593,0.01
2024-10-16,B15,1.254,0.017
2024-10-16,B16,1.2597,0.011
2024-11-18,B1,1.2777,0.012
2024-11-18,B2,1.2687,0.005
2024-11-18,B3,1.272,0.01
2024-11-18,B4,1.2603,0.002
2024-11-18,B5,1.2617,0.01
2024-11-18,B6,1.271,0.01
2024-11-18,B7,1.2663,0.008
2024-11-18,B8,1.272,0.007
2024-11-18,B9,1.2667,0.014
2024-11-18,B10,1.268,0.017
2024-11-18,B11,1.2593,0.014
2024-11-18,B12,1.263,0.007
2024-11-18,B13,1.2663,0.007
2024-11-18,B14,1.264,0.009
2024-11-18,B15,1.258,0.015
2024-11-18,B16,1.265,0.01
